item_id,item_name,item_description,category_name,item_category_type_name,type_name,unit_of_measure_name,purchase_price,purchase_price_currency_code,selling_price,selling_price_currency_code,max_inventory_level,min_inventory_level,re_order_level,low_stock_alert,over_stock_alert,image_links
ITM011,Stapler 296,Durable and reliable,Office Supplies,Consumables,Non-Perishable,Piece,130.66,USD,181.86,USD,569,8,108,TRUE,FALSE,"{""images"": [{""url"": ""/uploads/items/stapler.jpg"", ""alt"": ""Stapler 296""}]}"
ITM012,Ballpoint Pen 634,Smooth and professional,Office Supplies,Consumables,Non-Perishable,Piece,198.08,USD,251.66,USD,80,5,9,TRUE,FALSE,"{""images"": [{""url"": ""/uploads/items/ballpoint_pen.jpg"", ""alt"": ""Ballpoint Pen 634""}]}"
ITM013,Keyboard 402,High performance,Electronics,Spare Parts,Non-Perishable,Piece,165.13,USD,236.25,USD,862,36,87,TRUE,FALSE,"{""images"": [{""url"": ""/uploads/items/keyboard.jpg"", ""alt"": ""Keyboard 402""}]}"
ITM014,Ballpoint Pen 306,Durable and reliable,Office Supplies,Consumables,Non-Perishable,Piece,133.61,USD,154.19,USD,367,22,61,TRUE,FALSE,"{""images"": [{""url"": ""/uploads/items/ballpoint_pen.jpg"", ""alt"": ""Ballpoint Pen 306""}]}"
ITM015,Network Cable CAT6 391,Durable and long-lasting,Network Equipment,Consumables,Non-Perishable,Meter,107.85,USD,151.68,USD,66,6,11,FALSE,TRUE,"{""images"": [{""url"": ""/uploads/items/network_cable_cat6.jpg"", ""alt"": ""Network Cable CAT6 391""}]}"
ITM016,Mop 123,Essential office maintenance item,Maintenance,Consumables,Perishable,Piece,140.44,USD,154.87,USD,685,55,76,FALSE,TRUE,"{""images"": [{""url"": ""/uploads/items/mop.jpg"", ""alt"": ""Mop 123""}]}"
ITM017,A4 Paper 794,Smooth and professional,Office Supplies,Consumables,Perishable,Piece,49.17,USD,59.31,USD,934,15,109,TRUE,FALSE,"{""images"": [{""url"": ""/uploads/items/a4_paper.jpg"", ""alt"": ""A4 Paper 794""}]}"
ITM018,Detergent 948,Essential office maintenance item,Maintenance,Consumables,Non-Perishable,Piece,157.15,USD,199.15,USD,257,11,25,TRUE,FALSE,"{""images"": [{""url"": ""/uploads/items/detergent.jpg"", ""alt"": ""Detergent 948""}]}"
ITM019,Network Cable CAT6 604,Durable and long-lasting,Network Equipment,Consumables,Perishable,Meter,133.45,USD,178.51,USD,796,70,92,TRUE,FALSE,"{""images"": [{""url"": ""/uploads/items/network_cable_cat6.jpg"", ""alt"": ""Network Cable CAT6 604""}]}"
ITM020,Patch Panel 245,High-speed network equipment,Network Equipment,Consumables,Non-Perishable,Meter,175.34,USD,216.24,USD,810,56,117,FALSE,TRUE,"{""images"": [{""url"": ""/uploads/items/patch_panel.jpg"", ""alt"": ""Patch Panel 245""}]}"
ITM021,A4 Paper 653,Durable and reliable,Office Supplies,Consumables,Perishable,Piece,162.21,USD,219.84,USD,973,84,145,TRUE,FALSE,"{""images"": [{""url"": ""/uploads/items/a4_paper.jpg"", ""alt"": ""A4 Paper 653""}]}"
ITM022,Ethernet Connector 110,Durable and long-lasting,Network Equipment,Consumables,Non-Perishable,Meter,31.64,USD,41.52,USD,550,14,31,FALSE,TRUE,"{""images"": [{""url"": ""/uploads/items/ethernet_connector.jpg"", ""alt"": ""Ethernet Connector 110""}]}"
ITM023,Mouse 310,High performance,Electronics,Spare Parts,Non-Perishable,Piece,78.92,USD,92.57,USD,232,14,19,TRUE,FALSE,"{""images"": [{""url"": ""/uploads/items/mouse.jpg"", ""alt"": ""Mouse 310""}]}"
ITM024,HDMI Cable 682,Compatible with office devices,Electronics,Spare Parts,Perishable,Piece,140.91,USD,176.68,USD,418,29,71,FALSE,TRUE,"{""images"": [{""url"": ""/uploads/items/hdmi_cable.jpg"", ""alt"": ""HDMI Cable 682""}]}"
ITM025,Mop 366,Essential office maintenance item,Maintenance,Consumables,Perishable,Piece,91.42,USD,135.41,USD,959,74,151,FALSE,TRUE,"{""images"": [{""url"": ""/uploads/items/mop.jpg"", ""alt"": ""Mop 366""}]}"
ITM026,Ethernet Connector 831,Reliable connectivity,Network Equipment,Consumables,Non-Perishable,Meter,2.53,USD,2.86,USD,60,5,6,FALSE,TRUE,"{""images"": [{""url"": ""/uploads/items/ethernet_connector.jpg"", ""alt"": ""Ethernet Connector 831""}]}"
ITM027,Mop 524,Complete kit for cleaning,Maintenance,Consumables,Perishable,Piece,119.88,USD,150.31,USD,553,15,82,TRUE,FALSE,"{""images"": [{""url"": ""/uploads/items/mop.jpg"", ""alt"": ""Mop 524""}]}"
ITM028,Router 381,Durable and long-lasting,Network Equipment,Consumables,Perishable,Meter,64.53,USD,90.96,USD,576,57,110,TRUE,FALSE,"{""images"": [{""url"": ""/uploads/items/router.jpg"", ""alt"": ""Router 381""}]}"
ITM029,Switch 192,Reliable connectivity,Network Equipment,Consumables,Non-Perishable,Meter,198.19,USD,292.18,USD,452,28,76,TRUE,FALSE,"{""images"": [{""url"": ""/uploads/items/switch.jpg"", ""alt"": ""Switch 192""}]}"
ITM030,Laptop Battery 9,High performance,Electronics,Spare Parts,Non-Perishable,Piece,28.94,USD,36.13,USD,74,5,11,FALSE,TRUE,"{""images"": [{""url"": ""/uploads/items/laptop_battery.jpg"", ""alt"": ""Laptop Battery 9""}]}"
ITM031,Notebook 954,High quality for office use,Office Supplies,Consumables,Perishable,Piece,2.78,USD,3.43,USD,233,21,24,FALSE,TRUE,"{""images"": [{""url"": ""/uploads/items/notebook.jpg"", ""alt"": ""Notebook 954""}]}"
ITM032,Monitor Stand 379,Compatible with office devices,Electronics,Spare Parts,Non-Perishable,Piece,182.3,USD,225.93,USD,880,56,85,TRUE,FALSE,"{""images"": [{""url"": ""/uploads/items/monitor_stand.jpg"", ""alt"": ""Monitor Stand 379""}]}"
ITM033,Sticky Notes 273,Durable and reliable,Office Supplies,Consumables,Non-Perishable,Piece,157.55,USD,229.16,USD,65,5,11,FALSE,TRUE,"{""images"": [{""url"": ""/uploads/items/sticky_notes.jpg"", ""alt"": ""Sticky Notes 273""}]}"
ITM034,Laptop Battery 557,Compatible with office devices,Electronics,Spare Parts,Perishable,Piece,47.94,USD,58.17,USD,819,36,93,TRUE,FALSE,"{""images"": [{""url"": ""/uploads/items/laptop_battery.jpg"", ""alt"": ""Laptop Battery 557""}]}"
ITM035,Mop 397,Complete kit for cleaning,Maintenance,Consumables,Perishable,Piece,69.48,USD,81.78,USD,309,24,46,FALSE,TRUE,"{""images"": [{""url"": ""/uploads/items/mop.jpg"", ""alt"": ""Mop 397""}]}"
ITM036,Ethernet Connector 628,High-speed network equipment,Network Equipment,Consumables,Perishable,Meter,149.59,USD,180.43,USD,824,6,139,FALSE,TRUE,"{""images"": [{""url"": ""/uploads/items/ethernet_connector.jpg"", ""alt"": ""Ethernet Connector 628""}]}"
ITM037,A4 Paper 793,Durable and reliable,Office Supplies,Consumables,Perishable,Piece,139.74,USD,175.25,USD,403,24,34,TRUE,FALSE,"{""images"": [{""url"": ""/uploads/items/a4_paper.jpg"", ""alt"": ""A4 Paper 793""}]}"
ITM038,HDMI Cable 794,High performance,Electronics,Spare Parts,Perishable,Piece,136.37,USD,183.13,USD,195,12,27,FALSE,TRUE,"{""images"": [{""url"": ""/uploads/items/hdmi_cable.jpg"", ""alt"": ""HDMI Cable 794""}]}"
ITM039,Patch Panel 825,Reliable connectivity,Network Equipment,Consumables,Perishable,Meter,72.18,USD,102.25,USD,834,67,143,TRUE,FALSE,"{""images"": [{""url"": ""/uploads/items/patch_panel.jpg"", ""alt"": ""Patch Panel 825""}]}"
ITM040,Mop 178,Complete kit for cleaning,Maintenance,Consumables,Non-Perishable,Piece,41.87,USD,51.78,USD,495,34,51,FALSE,TRUE,"{""images"": [{""url"": ""/uploads/items/mop.jpg"", ""alt"": ""Mop 178""}]}"
ITM041,Sticky Notes 675,High quality for office use,Office Supplies,Consumables,Non-Perishable,Piece,71.1,USD,81.19,USD,204,18,18,TRUE,FALSE,"{""images"": [{""url"": ""/uploads/items/sticky_notes.jpg"", ""alt"": ""Sticky Notes 675""}]}"
ITM042,Stapler 384,Durable and reliable,Office Supplies,Consumables,Non-Perishable,Piece,71.85,USD,80.11,USD,433,24,54,FALSE,TRUE,"{""images"": [{""url"": ""/uploads/items/stapler.jpg"", ""alt"": ""Stapler 384""}]}"
ITM043,HDMI Cable 183,High performance,Electronics,Spare Parts,Non-Perishable,Piece,158.73,USD,179.21,USD,291,22,36,FALSE,TRUE,"{""images"": [{""url"": ""/uploads/items/hdmi_cable.jpg"", ""alt"": ""HDMI Cable 183""}]}"
ITM044,Sticky Notes 161,Smooth and professional,Office Supplies,Consumables,Perishable,Piece,149.65,USD,170.51,USD,929,52,91,FALSE,TRUE,"{""images"": [{""url"": ""/uploads/items/sticky_notes.jpg"", ""alt"": ""Sticky Notes 161""}]}"
ITM045,Keyboard 662,Replacement part,Electronics,Spare Parts,Perishable,Piece,41.99,USD,58.88,USD,62,5,8,TRUE,FALSE,"{""images"": [{""url"": ""/uploads/items/keyboard.jpg"", ""alt"": ""Keyboard 662""}]}"
ITM046,Keyboard 372,Compatible with office devices,Electronics,Spare Parts,Perishable,Piece,7.6,USD,9.46,USD,771,72,75,TRUE,FALSE,"{""images"": [{""url"": ""/uploads/items/keyboard.jpg"", ""alt"": ""Keyboard 372""}]}"
ITM047,Router 149,High-speed network equipment,Network Equipment,Consumables,Perishable,Meter,120.9,USD,145.12,USD,586,50,65,TRUE,FALSE,"{""images"": [{""url"": ""/uploads/items/router.jpg"", ""alt"": ""Router 149""}]}"
ITM048,Air Freshener 405,Essential office maintenance item,Maintenance,Consumables,Perishable,Piece,72.95,USD,95.8,USD,953,27,174,FALSE,TRUE,"{""images"": [{""url"": ""/uploads/items/air_freshener.jpg"", ""alt"": ""Air Freshener 405""}]}"
ITM049,Monitor Stand 78,High performance,Electronics,Spare Parts,Perishable,Piece,77.29,USD,86.8,USD,701,52,74,TRUE,FALSE,"{""images"": [{""url"": ""/uploads/items/monitor_stand.jpg"", ""alt"": ""Monitor Stand 78""}]}"
ITM050,Ballpoint Pen 756,High quality for office use,Office Supplies,Consumables,Perishable,Piece,108.43,USD,133.6,USD,269,14,21,TRUE,FALSE,"{""images"": [{""url"": ""/uploads/items/ballpoint_pen.jpg"", ""alt"": ""Ballpoint Pen 756""}]}"
ITM051,Ethernet Connector 471,Durable and long-lasting,Network Equipment,Consumables,Perishable,Meter,35.71,USD,52.04,USD,745,13,145,FALSE,TRUE,"{""images"": [{""url"": ""/uploads/items/ethernet_connector.jpg"", ""alt"": ""Ethernet Connector 471""}]}"
ITM052,Patch Panel 952,Reliable connectivity,Network Equipment,Consumables,Perishable,Meter,171.85,USD,221.55,USD,588,11,55,TRUE,FALSE,"{""images"": [{""url"": ""/uploads/items/patch_panel.jpg"", ""alt"": ""Patch Panel 952""}]}"
ITM053,Router 806,High-speed network equipment,Network Equipment,Consumables,Non-Perishable,Meter,78.56,USD,109.92,USD,981,15,192,TRUE,FALSE,"{""images"": [{""url"": ""/uploads/items/router.jpg"", ""alt"": ""Router 806""}]}"
ITM054,Stapler 780,High quality for office use,Office Supplies,Consumables,Perishable,Piece,33.3,USD,37.72,USD,187,14,37,TRUE,FALSE,"{""images"": [{""url"": ""/uploads/items/stapler.jpg"", ""alt"": ""Stapler 780""}]}"
ITM055,Keyboard 697,Compatible with office devices,Electronics,Spare Parts,Non-Perishable,Piece,77.58,USD,112.09,USD,198,16,39,FALSE,TRUE,"{""images"": [{""url"": ""/uploads/items/keyboard.jpg"", ""alt"": ""Keyboard 697""}]}"
ITM056,Monitor Stand 961,Compatible with office devices,Electronics,Spare Parts,Perishable,Piece,121.03,USD,149.04,USD,336,31,50,FALSE,TRUE,"{""images"": [{""url"": ""/uploads/items/monitor_stand.jpg"", ""alt"": ""Monitor Stand 961""}]}"
ITM057,Laptop Battery 967,Replacement part,Electronics,Spare Parts,Non-Perishable,Piece,178.83,USD,257.94,USD,406,39,57,TRUE,FALSE,"{""images"": [{""url"": ""/uploads/items/laptop_battery.jpg"", ""alt"": ""Laptop Battery 967""}]}"
ITM058,A4 Paper 431,Smooth and professional,Office Supplies,Consumables,Perishable,Piece,175.72,USD,196.17,USD,285,12,48,FALSE,TRUE,"{""images"": [{""url"": ""/uploads/items/a4_paper.jpg"", ""alt"": ""A4 Paper 431""}]}"
ITM059,A4 Paper 877,Smooth and professional,Office Supplies,Consumables,Perishable,Piece,55.18,USD,63.79,USD,964,37,93,TRUE,FALSE,"{""images"": [{""url"": ""/uploads/items/a4_paper.jpg"", ""alt"": ""A4 Paper 877""}]}"
ITM060,Sticky Notes 206,High quality for office use,Office Supplies,Consumables,Perishable,Piece,35.81,USD,51.69,USD,653,26,100,FALSE,TRUE,"{""images"": [{""url"": ""/uploads/items/sticky_notes.jpg"", ""alt"": ""Sticky Notes 206""}]}"
ITM061,HDMI Cable 180,Replacement part,Electronics,Spare Parts,Non-Perishable,Piece,120.33,USD,168.57,USD,783,66,106,TRUE,FALSE,"{""images"": [{""url"": ""/uploads/items/hdmi_cable.jpg"", ""alt"": ""HDMI Cable 180""}]}"
ITM062,Laptop Battery 238,Compatible with office devices,Electronics,Spare Parts,Perishable,Piece,114.16,USD,143.98,USD,96,7,16,TRUE,FALSE,"{""images"": [{""url"": ""/uploads/items/laptop_battery.jpg"", ""alt"": ""Laptop Battery 238""}]}"
ITM063,Network Cable CAT6 569,Durable and long-lasting,Network Equipment,Consumables,Non-Perishable,Meter,25.35,USD,29.11,USD,113,10,21,TRUE,FALSE,"{""images"": [{""url"": ""/uploads/items/network_cable_cat6.jpg"", ""alt"": ""Network Cable CAT6 569""}]}"
ITM064,Air Freshener 900,Eco-friendly materials,Maintenance,Consumables,Perishable,Piece,141.24,USD,159.59,USD,854,23,47,FALSE,TRUE,"{""images"": [{""url"": ""/uploads/items/air_freshener.jpg"", ""alt"": ""Air Freshener 900""}]}"
ITM065,Stapler 512,Smooth and professional,Office Supplies,Consumables,Non-Perishable,Piece,133.91,USD,147.39,USD,778,32,32,TRUE,FALSE,"{""images"": [{""url"": ""/uploads/items/stapler.jpg"", ""alt"": ""Stapler 512""}]}"
ITM066,Ethernet Connector 777,Reliable connectivity,Network Equipment,Consumables,Non-Perishable,Meter,79.14,USD,103.09,USD,856,10,26,TRUE,FALSE,"{""images"": [{""url"": ""/uploads/items/ethernet_connector.jpg"", ""alt"": ""Ethernet Connector 777""}]}"
ITM067,Switch 917,Durable and long-lasting,Network Equipment,Consumables,Non-Perishable,Meter,191.08,USD,219.89,USD,710,44,60,FALSE,TRUE,"{""images"": [{""url"": ""/uploads/items/switch.jpg"", ""alt"": ""Switch 917""}]}"
ITM068,Stapler 475,Durable and reliable,Office Supplies,Consumables,Non-Perishable,Piece,121.59,USD,159.02,USD,326,16,18,FALSE,TRUE,"{""images"": [{""url"": ""/uploads/items/stapler.jpg"", ""alt"": ""Stapler 475""}]}"
ITM069,HDMI Cable 823,Compatible with office devices,Electronics,Spare Parts,Non-Perishable,Piece,65.35,USD,88.62,USD,885,43,70,TRUE,FALSE,"{""images"": [{""url"": ""/uploads/items/hdmi_cable.jpg"", ""alt"": ""HDMI Cable 823""}]}"
ITM070,Detergent 384,Essential office maintenance item,Maintenance,Consumables,Non-Perishable,Piece,30.88,USD,41.8,USD,709,15,134,TRUE,FALSE,"{""images"": [{""url"": ""/uploads/items/detergent.jpg"", ""alt"": ""Detergent 384""}]}"
ITM071,Laptop Battery 138,High performance,Electronics,Spare Parts,Perishable,Piece,173.74,USD,200.84,USD,507,49,69,FALSE,TRUE,"{""images"": [{""url"": ""/uploads/items/laptop_battery.jpg"", ""alt"": ""Laptop Battery 138""}]}"
ITM072,Air Freshener 375,Complete kit for cleaning,Maintenance,Consumables,Non-Perishable,Piece,132.54,USD,162.28,USD,987,61,103,FALSE,TRUE,"{""images"": [{""url"": ""/uploads/items/air_freshener.jpg"", ""alt"": ""Air Freshener 375""}]}"
ITM073,Mop 55,Complete kit for cleaning,Maintenance,Consumables,Perishable,Piece,115.8,USD,143.12,USD,296,8,40,FALSE,TRUE,"{""images"": [{""url"": ""/uploads/items/mop.jpg"", ""alt"": ""Mop 55""}]}"
ITM074,HDMI Cable 781,Replacement part,Electronics,Spare Parts,Perishable,Piece,35.23,USD,45.37,USD,182,18,18,FALSE,TRUE,"{""images"": [{""url"": ""/uploads/items/hdmi_cable.jpg"", ""alt"": ""HDMI Cable 781""}]}"
ITM075,Stapler 584,Smooth and professional,Office Supplies,Consumables,Perishable,Piece,59.11,USD,72.16,USD,259,6,35,FALSE,TRUE,"{""images"": [{""url"": ""/uploads/items/stapler.jpg"", ""alt"": ""Stapler 584""}]}"
ITM076,Mouse 65,Compatible with office devices,Electronics,Spare Parts,Non-Perishable,Piece,78.43,USD,88.24,USD,893,44,125,FALSE,TRUE,"{""images"": [{""url"": ""/uploads/items/mouse.jpg"", ""alt"": ""Mouse 65""}]}"
ITM077,Mouse 258,Compatible with office devices,Electronics,Spare Parts,Perishable,Piece,180.29,USD,259.2,USD,938,82,145,FALSE,TRUE,"{""images"": [{""url"": ""/uploads/items/mouse.jpg"", ""alt"": ""Mouse 258""}]}"
ITM078,Cleaning Kit 999,Essential office maintenance item,Maintenance,Consumables,Perishable,Piece,46.47,USD,67.33,USD,314,14,26,FALSE,TRUE,"{""images"": [{""url"": ""/uploads/items/cleaning_kit.jpg"", ""alt"": ""Cleaning Kit 999""}]}"
ITM079,Mop 620,Eco-friendly materials,Maintenance,Consumables,Non-Perishable,Piece,138.08,USD,154.04,USD,886,84,148,FALSE,TRUE,"{""images"": [{""url"": ""/uploads/items/mop.jpg"", ""alt"": ""Mop 620""}]}"
ITM080,Sticky Notes 85,Durable and reliable,Office Supplies,Consumables,Perishable,Piece,77.28,USD,104.55,USD,417,36,66,TRUE,FALSE,"{""images"": [{""url"": ""/uploads/items/sticky_notes.jpg"", ""alt"": ""Sticky Notes 85""}]}"
ITM081,Mop 40,Complete kit for cleaning,Maintenance,Consumables,Perishable,Piece,177.55,USD,210.16,USD,187,6,26,FALSE,TRUE,"{""images"": [{""url"": ""/uploads/items/mop.jpg"", ""alt"": ""Mop 40""}]}"
ITM082,Laptop Battery 302,Compatible with office devices,Electronics,Spare Parts,Non-Perishable,Piece,167.01,USD,237.85,USD,277,11,45,TRUE,FALSE,"{""images"": [{""url"": ""/uploads/items/laptop_battery.jpg"", ""alt"": ""Laptop Battery 302""}]}"
ITM083,Switch 795,High-speed network equipment,Network Equipment,Consumables,Perishable,Meter,187.9,USD,223.76,USD,285,7,26,TRUE,FALSE,"{""images"": [{""url"": ""/uploads/items/switch.jpg"", ""alt"": ""Switch 795""}]}"
ITM084,Switch 37,Durable and long-lasting,Network Equipment,Consumables,Non-Perishable,Meter,157.06,USD,199.73,USD,280,22,26,FALSE,TRUE,"{""images"": [{""url"": ""/uploads/items/switch.jpg"", ""alt"": ""Switch 37""}]}"
ITM085,Mop 670,Complete kit for cleaning,Maintenance,Consumables,Perishable,Piece,73.03,USD,97.9,USD,875,63,128,FALSE,TRUE,"{""images"": [{""url"": ""/uploads/items/mop.jpg"", ""alt"": ""Mop 670""}]}"
ITM086,Patch Panel 339,Reliable connectivity,Network Equipment,Consumables,Perishable,Meter,103.31,USD,153.31,USD,573,13,31,TRUE,FALSE,"{""images"": [{""url"": ""/uploads/items/patch_panel.jpg"", ""alt"": ""Patch Panel 339""}]}"
ITM087,Ethernet Connector 286,High-speed network equipment,Network Equipment,Consumables,Non-Perishable,Meter,5.32,USD,6.91,USD,539,30,81,TRUE,FALSE,"{""images"": [{""url"": ""/uploads/items/ethernet_connector.jpg"", ""alt"": ""Ethernet Connector 286""}]}"
ITM088,Detergent 889,Complete kit for cleaning,Maintenance,Consumables,Perishable,Piece,174.31,USD,222.29,USD,293,10,25,FALSE,TRUE,"{""images"": [{""url"": ""/uploads/items/detergent.jpg"", ""alt"": ""Detergent 889""}]}"
ITM089,Mop 489,Essential office maintenance item,Maintenance,Consumables,Non-Perishable,Piece,150.7,USD,172.1,USD,449,42,64,TRUE,FALSE,"{""images"": [{""url"": ""/uploads/items/mop.jpg"", ""alt"": ""Mop 489""}]}"
ITM090,HDMI Cable 786,Replacement part,Electronics,Spare Parts,Perishable,Piece,82.9,USD,103.36,USD,341,32,65,FALSE,TRUE,"{""images"": [{""url"": ""/uploads/items/hdmi_cable.jpg"", ""alt"": ""HDMI Cable 786""}]}"
ITM091,Network Cable CAT6 447,Reliable connectivity,Network Equipment,Consumables,Perishable,Meter,154.77,USD,212.44,USD,228,5,43,TRUE,FALSE,"{""images"": [{""url"": ""/uploads/items/network_cable_cat6.jpg"", ""alt"": ""Network Cable CAT6 447""}]}"
ITM092,Trash Bag 538,Eco-friendly materials,Maintenance,Consumables,Non-Perishable,Piece,61.92,USD,69.96,USD,161,12,17,FALSE,TRUE,"{""images"": [{""url"": ""/uploads/items/trash_bag.jpg"", ""alt"": ""Trash Bag 538""}]}"
ITM093,Mop 223,Complete kit for cleaning,Maintenance,Consumables,Non-Perishable,Piece,36.2,USD,48.25,USD,810,72,159,FALSE,TRUE,"{""images"": [{""url"": ""/uploads/items/mop.jpg"", ""alt"": ""Mop 223""}]}"
ITM094,Mouse 706,Replacement part,Electronics,Spare Parts,Non-Perishable,Piece,68.67,USD,82.37,USD,371,35,49,TRUE,FALSE,"{""images"": [{""url"": ""/uploads/items/mouse.jpg"", ""alt"": ""Mouse 706""}]}"
ITM095,Laptop Battery 918,Replacement part,Electronics,Spare Parts,Perishable,Piece,38.13,USD,51.07,USD,485,7,65,FALSE,TRUE,"{""images"": [{""url"": ""/uploads/items/laptop_battery.jpg"", ""alt"": ""Laptop Battery 918""}]}"
ITM096,Cleaning Kit 102,Complete kit for cleaning,Maintenance,Consumables,Non-Perishable,Piece,122.43,USD,164.7,USD,594,46,71,TRUE,FALSE,"{""images"": [{""url"": ""/uploads/items/cleaning_kit.jpg"", ""alt"": ""Cleaning Kit 102""}]}"
ITM097,Ballpoint Pen 451,Durable and reliable,Office Supplies,Consumables,Non-Perishable,Piece,12.07,USD,15.6,USD,677,37,42,TRUE,FALSE,"{""images"": [{""url"": ""/uploads/items/ballpoint_pen.jpg"", ""alt"": ""Ballpoint Pen 451""}]}"
ITM098,Air Freshener 640,Essential office maintenance item,Maintenance,Consumables,Non-Perishable,Piece,95.34,USD,142.82,USD,895,61,121,FALSE,TRUE,"{""images"": [{""url"": ""/uploads/items/air_freshener.jpg"", ""alt"": ""Air Freshener 640""}]}"
ITM099,Ballpoint Pen 122,Durable and reliable,Office Supplies,Consumables,Perishable,Piece,27.63,USD,31.25,USD,421,38,82,FALSE,TRUE,"{""images"": [{""url"": ""/uploads/items/ballpoint_pen.jpg"", ""alt"": ""Ballpoint Pen 122""}]}"
ITM100,Stapler 804,Smooth and professional,Office Supplies,Consumables,Non-Perishable,Piece,62.65,USD,89.27,USD,730,64,114,FALSE,TRUE,"{""images"": [{""url"": ""/uploads/items/stapler.jpg"", ""alt"": ""Stapler 804""}]}"
